"Align_ID","Batch.A.01","Batch.A.02","Batch.A.03","Batch.A.04","Batch.A.05","Batch.A.06","Batch.A.07","Batch.A.08","Batch.A.09","Batch.A.10","Batch.A.11","Batch.A.12","Batch.A.13","Batch.A.14","Batch.A.15","mz","rt","Batch.B.01","Batch.B.02","Batch.B.03","Batch.B.04","Batch.B.05","Batch.B.06","Batch.B.07","Batch.B.08","Batch.B.09","Batch.B.10","Batch.B.11","Batch.B.12","Batch.B.13","Batch.B.14","Batch.B.15","mz","rt","Batch.C.01","Batch.C.02","Batch.C.03","Batch.C.04","Batch.C.05","Batch.C.06","Batch.C.07","Batch.C.08","Batch.C.09","Batch.C.10","Batch.C.11","Batch.C.12","Batch.C.13","Batch.C.14","Batch.C.15","mz","rt"
"Align_1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67508.99161","153909.184","309639.5104","179544.4631","165638.636","165779.9377","65761.42604","45157.85574","37229.5878","99707.68163","116917.8845","64117.07181","42446.56074","78886.02155","43682.04862","105.0342591","167.9180005",29095.84398,43955.02659,57310.63084,270213.8769,154618.3265,458778.5026,55279.19749,54247.64438,149224.2131,47470.30048,85174.35072,63410.27278,18759.36184,83819.16833,25882.19722,105.0342591,167.9180005
"Align_2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99253.94087","145183.4945","206095.3082","161554.9025","147071.5632","255630.1298","379633.3739","116649.696","125576.9484","57640.10617","233455.1489","174021.4253","172884.5401","245552.307","68940.70324","114.0664416","30.44299984",174527.9747,174187.3682,54565.43061,238096.504,225770.0125,147266.9396,42606.75404,160810.0679,110094.9596,41515.90945,117905.7498,77670.95763,88715.81955,218800.1586,102298.5187,114.0664416,30.44299984
"Align_3","277.0998136","2511.397464","13254.33877","1917.269825","6140.081677","1427.705037","8867.779809","8662.792116","4512.009827","17177.40471","5184.344272","6141.324247","3267.906085","2199.318577","10899.04592","451.2093523","212.8950015","466.1295877","14596.95769","16712.60131","8036.33548","10846.42676","21385.71345","24564.78334","660.7009022","925.0056879","50104.39816","211470.5723","659.5197859","119052.2343","4782.496439","6629.810228","451.2093523","212.8950015",4544.054108,886.7139702,1897.87551,31611.36087,9629.116417,13371.17748,884.4688184,9182.966548,5073.616718,2687.975081,25277.00962,3599.986838,142344.5652,12187.5536,1426.906159,451.2093523,212.8950015
"Align_4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44936.18321","48831.86018","57244.67768","52146.22207","65146.87434","67047.09651","120247.9115","78005.32547","3753.892494","2795.716805","77715.27707","45558.3928","9633.30056","37121.96787","1598.838574","167.0575222","91.05399702",13801.50395,177847.5636,38483.45448,77605.20142,11723.04068,64683.58592,10261.61001,45108.49601,21829.33194,14888.00165,54826.58054,24650.16009,4900.191573,146047.4248,38376.38688,167.0575222,91.05399702
"Align_5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70034.84844","81750.02748","46961.16696","27961.11951","28310.14628","39575.44077","144092.2825","93356.61273","13787.00027","7402.922041","20293.50478","35389.44784","13834.12152","21503.42669","12560.02098","181.0694084","142.1870016",17360.19484,76545.36607,29228.26431,46850.87032,16420.09518,21744.62368,13787.12671,36417.11571,12924.37169,18583.30031,24989.91016,8978.437333,10778.00639,54329.86206,39468.67155,181.0694084,142.1870016
"Align_6","10035.51479","8040.600356","48537.05048","63352.40919","139578.1645","30943.56665","36811.96803","12089.08875","35250.76777","2758.547047","37042.34521","8648.28213","248.1657933","13289.84151","82337.55649","314.2331058","329.4750099","19820.23403","32334.28329","125206.3688","40555.56697","19151.32207","62162.5638","54583.77472","29817.69022","52035.5164","5519.368382","31277.36525","40510.06116","19349.72948","36451.68827","1233.635394","314.2331058","329.4750099",41515.81856,41714.58583,8476.721678,35521.86128,115517.0059,37577.92963,7174.170122,29797.74981,5534.447017,2261.511093,56878.51818,12940.81218,25688.40485,47631.39577,10879.18686,314.2331058,329.4750099
"Align_7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24467.62356","111501.3029","92503.41718","71895.13577","41298.12227","137210.9221","22883.60483","35601.9438","36280.66637","22643.40611","27331.59038","70500.4798","22123.76005","23636.72268","3544.39916","188.0711417","143.7160039",35807.33587,23988.02462,24173.26056,49668.79879,84514.20146,19105.69662,17894.4947,42303.11192,12070.88899,6299.797067,34022.33332,33585.4574,14804.14297,24068.83268,27298.74482,188.0711417,143.7160039
"Align_8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48555.34747","65729.75533","44955.47103","67780.66197","83126.61082","62178.07704","32312.29447","23825.57381","28594.50103","56988.69286","55880.15541","31831.64432","34057.50662","39034.94725","34291.02986","202.0478558","167.9620044",17464.65792,26644.01483,44361.86946,128082.8382,58134.49603,132494.5695,31841.40371,23716.3377,60359.72166,31015.35119,43663.44516,34477.33026,8483.118138,41226.54312,10554.58562,202.0478558,167.9620044
"Align_9","90972.12409","69629.86107","114656.2299","62124.94735","97908.5036","59680.56799","61328.41237","108271.9205","98450.00513","114721.0634","91207.86892","105085.5298","104129.6646","99016.77828","66188.63417","437.195549","559.7010051","79414.67532","87267.61299","70663.02564","110054.4906","106947.8391","95144.00656","61533.14397","69637.13152","98010.91472","82686.59546","110213.1114","125129.2365","90585.14644","130640.5887","96655.3376","437.195549","559.7010051",116558.547,101042.1404,101148.8083,98009.00294,66486.45194,67008.6409,94751.64001,116683.6413,119898.7905,112386.4263,107908.3213,102598.0064,106140.6918,67120.9173,78058.49317,437.195549,559.7010051
"Align_10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3390.457194","3978.186585","122972.0485","4152.491869","33363.29448","6183.429203","36632.16684","2372.318168","3252.245405","2641.044008","2759.640946","2253.257368","2859.503327","34415.94361","12426.63661","220.1164088","121.9124975",7250.903431,5832.352126,1749.828722,6756.734254,106913.9149,18281.34669,1370.479832,3993.323669,3597.95802,2424.70417,14269.73924,2807.511804,10037.18173,3909.80846,1064.797799,220.1164088,121.9124975
