name,Batch-B-01,Batch-B-02,Batch-B-03,Batch-B-04,Batch-B-05,Batch-B-06,Batch-B-07,Batch-B-08,Batch-B-09,Batch-B-10,Batch-B-11,Batch-B-12,Batch-B-13,Batch-B-14,Batch-B-15,mz,rt
label,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,
B_1,206.6226874,156.5504314,232.440504,180.6103481,229.0615488,271.3297766,423.5621652,181.3890585,207.8078091,179.3716735,162.0036442,101.5936942,145.8592622,198.0477675,220.9483101,62.03028142,24.89799948
B_2,168.3607963,252.6635842,213.8615693,356.0022016,260.6773545,270.9546912,217.5915451,267.1642017,202.0115831,195.1552445,351.9826345,782.2470623,235.7998171,325.8860053,222.3059304,62.96262237,571.0710263
B_3,455.924749,437.4572387,788.0780491,248.348806,758.6940152,873.1149153,994.0240026,309.0604476,433.0663204,319.034261,398.2595047,214.444446,208.7084319,230.5733305,306.8245855,66.01795488,22.83150021
B_4,99.90519641,109.7306221,170.8603066,99.78358256,165.8245123,190.4383095,223.6274763,83.43400597,92.0659241,105.6543396,109.6461581,98.85668293,80.90847786,96.04573511,78.19033966,67.00115177,24.25799958
B_5,203.7849294,288.3844611,347.4092112,451.5463008,231.4058908,403.4372422,478.0101621,271.7352965,290.4917925,171.5252848,287.1958098,258.5182518,132.5133895,291.2537842,103.8142222,68.03949847,30.82899966
B_6,1783.23108,2021.662376,3610.552056,1582.533833,2415.019117,2591.688883,2263.861928,1017.721235,893.250044,751.8843225,987.9469297,1046.701211,418.2521572,1062.329435,681.6120105,68.99482352,27.45900002
B_7,3353.371263,3917.72283,4723.515773,3199.298963,3741.584691,4323.556149,5398.22977,4664.881657,3348.180953,4276.153914,3131.899162,2798.771848,2721.292153,2640.125758,2939.387188,70.01469822,574.6739815
B_8,1051.4153,1642.742419,2602.181601,2584.686561,1439.365587,2400.762676,1850.567831,1039.936682,1317.661517,2105.586374,1691.917828,1499.13367,911.9599554,1559.867192,335.0709507,72.07839944,33.87500026
B_9,225.6672137,295.6785585,885.7573679,478.816417,1145.073592,1481.118846,1139.642728,290.0307378,245.675785,365.3496563,264.3488591,1317.283407,262.1483428,773.6724303,106.8158028,76.03421566,148.0730008
B_10,3530.526282,2755.068505,1546.039445,2166.025386,1450.160847,2452.371961,2060.014623,4230.037793,6478.523258,1478.837795,4909.156119,4395.554017,4962.931151,11528.1371,3412.139224,76.07594841,30.13300039
B_11,6169.930968,19798.98549,39671.99291,21106.09631,16979.74439,20927.70432,6348.284498,5550.046702,3361.329712,8667.303469,15821.07915,7094.276117,2934.988892,6925.237943,3282.85547,77.03918825,168.0014999
B_12,171.1410201,153.3175443,109.8732374,158.778493,110.1131353,168.3348007,136.7399761,211.4280581,310.6933951,102.9776929,280.0893269,200.6087028,241.868208,517.8491069,175.8933205,77.08551985,29.38450026
B_13,443.7195378,1451.547241,3327.181298,1623.352461,1116.638822,1429.539595,1318.935153,413.7270938,272.7619036,673.6251087,983.3202608,577.0629949,215.3277139,525.9337972,256.3347022,78.04133681,168.0069991
B_14,202.1078774,192.5911341,351.1195117,295.6076044,245.9856913,210.9804059,248.1721024,239.1439444,177.8851961,243.1690084,283.1652466,294.0858058,248.9371182,321.7400018,231.4799258,77.99798682,575.3830151
B_15,247.973792,2475.356386,2516.862937,579.5909133,1900.50455,4956.155766,429.9756015,1791.092593,518.7477599,562.8959048,1034.590076,360.2985771,144.6378118,254.6143526,394.3128911,81.03526019,117.5460019
B_16,11783.19415,9415.345785,9316.066128,7369.48618,8868.212468,10583.69083,14440.51191,12812.10079,12053.50273,14881.08015,8028.726506,7243.584985,10239.77817,8602.980433,8981.360184,81.52056365,574.6165049
B_17,6084.259015,5890.508751,8121.411731,3227.951096,8520.54588,10280.80753,11364.5131,5422.758993,6186.061141,5609.291488,5151.051839,392.6904272,4033.063113,3864.250653,6045.35475,82.01514653,22.1460001
B_18,1745.51461,2169.534184,3593.124736,1927.097096,2410.326294,3856.15805,2752.050722,2097.103609,2274.000941,1577.927976,1797.806566,2523.689744,1853.283868,1731.453257,1701.142264,83.02665928,25.25600044
B_19,38597.22199,35310.06542,31579.8778,43718.20754,45809.4587,38320.50466,38982.12813,40191.90095,48698.86652,37814.39874,43204.34185,50711.81039,50650.58791,60718.20187,51165.41005,84.04481926,525.1265028
B_20,1213.740701,2730.072012,4978.12394,3315.4451,1995.205233,3324.311251,1933.297338,1676.709572,1148.330019,1512.478007,2372.698207,2511.138078,731.145979,2276.286512,642.8273683,84.08134037,32.95999985
B_21,7401.101089,16273.5659,31777.06127,32482.55927,16801.18643,22539.2932,15342.20767,9710.870131,13087.76965,15048.62927,15087.88979,19377.05653,20851.90077,20401.7371,3409.096246,86.08623926,57.28400073
B_22,182.1622737,152.3765273,175.0831892,188.1038752,212.2001896,203.6039446,220.0010239,213.8837374,167.0276111,238.8906246,176.118713,292.3825315,309.7339223,290.3374371,258.1295743,90.24700962,574.6130141
B_23,467.0324113,19715.67964,14216.08818,4520.001019,15833.36407,28730.67573,15796.71867,19406.82409,1034.669322,4387.634497,5669.776089,1436.916076,711.6622415,541.6755158,1609.506944,95.01387962,107.9674983
B_24,450.498045,1479.668343,1401.350483,1518.467486,2394.94274,1877.941484,3268.227924,860.4971784,961.5371657,514.4003999,1616.722377,1041.156921,544.9451993,1611.586995,577.670858,95.06173679,31.42000064
B_25,745.1595357,2585.42234,2806.623134,1619.193904,1054.007959,3144.263568,1327.768592,2426.783568,674.3732652,742.7032539,830.7098863,846.8235899,442.0321767,231.2920557,673.293193,96.04611566,36.73800071
B_26,677.7441307,2653.200624,5089.295362,2284.795365,2700.751214,2621.943477,1576.178681,2073.577626,1414.244216,569.6383716,1621.757009,1408.967141,779.9860753,2321.793885,302.7827847,97.0985151,275.8720104
B_27,567.5651029,4269.156702,5925.070862,3703.669966,2282.381197,5925.480512,2022.208588,1414.774276,1565.217307,1429.401965,2117.454115,2615.906693,325.1718526,1083.893177,168.2793288,103.0520029,102.5844988
B_28,21062.22049,22425.71506,19724.31265,35623.90501,33203.18422,24481.44349,21287.36595,23008.12997,25808.86805,20715.73706,35040.40717,98432.48394,31585.21739,50940.63993,32684.0918,103.9578083,568.0300136
B_29,204.2356078,172.5492734,131.467661,255.404737,371.1317998,290.2348955,126.3538478,146.9783171,359.9727039,152.5701897,549.4174883,695.4819865,487.1057786,712.0442037,429.8776292,104.7537212,570.0470036
B_30,67508.99161,153909.184,309639.5104,179544.4631,165638.636,165779.9377,65761.42604,45157.85574,37229.5878,99707.68163,116917.8845,64117.07181,42446.56074,78886.02155,43682.04862,105.0342591,167.9180005
B_31,9573.039765,10400.06978,9144.944645,16082.00889,14802.94199,10932.89644,9519.271893,10357.64791,12310.16479,9297.074091,16001.77566,46363.77874,14124.86845,24530.66581,15210.34256,105.9558561,568.0220016
B_32,5381.194913,12962.63549,27162.89376,15975.97294,12878.3767,14984.05399,13320.43584,3652.872453,3796.751956,8620.759954,9750.604008,780.4787022,3974.105036,7070.610794,5519.74222,106.0377618,168.040993
B_33,1344.083045,1117.432563,436.8312989,2026.669494,1965.087084,1073.955146,757.8041204,1252.628838,2045.047651,1204.310467,1907.673142,5776.009428,2775.015422,3707.286244,3028.808953,107.967821,562.4839798
B_34,136.1059701,1141.433499,435.9303643,531.2365026,477.9461713,1062.432358,204.4885232,847.445935,222.9932234,300.4975334,357.7943442,172.078877,239.4155556,193.9375025,322.0004737,108.0765616,33.11000077
B_35,17654.99196,18118.44011,17872.44263,7457.44868,25735.32481,29071.78998,27113.83768,12953.92056,18110.24567,15669.44185,12554.05832,8430.363244,12079.70923,12106.16105,19949.0053,110.0170275,23.18099939
B_36,7347.450531,5224.179503,10859.13516,4750.093493,5806.712639,6673.561903,9367.959708,4127.140199,5283.206265,3591.972406,3965.42679,759.6043417,165.9623904,3024.879385,3699.588613,111.0117468,27.01099932
B_37,3033.143412,5331.091062,4887.611067,3514.181446,4343.526522,6700.945383,5695.074763,2807.175286,2885.945412,2361.136281,3926.83753,3484.689729,2519.432838,4330.169444,3495.186033,112.0242707,27.49300023
B_38,1295.88437,2367.452185,6214.585552,2688.559876,1901.796746,4021.407125,4453.671904,1731.831341,2020.833852,822.642666,4046.866737,1373.2259,998.5901326,2788.220748,481.0010591,112.0538665,114.0550035
B_39,32968.62859,44998.19568,66561.45674,49609.27043,45611.19978,48332.43914,40019.76539,42628.26675,31444.84858,35299.50664,54494.48205,75267.84991,33978.21403,58072.42969,34910.00541,113.9652945,577.5349995
