name,Batch-C-01,Batch-C-02,Batch-C-03,Batch-C-04,Batch-C-05,Batch-C-06,Batch-C-07,Batch-C-08,Batch-C-09,Batch-C-10,Batch-C-11,Batch-C-12,Batch-C-13,Batch-C-14,Batch-C-15,mz,rt
label,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,
C_1,130.22145,289.4777052,169.6390883,192.194784,265.2068704,307.4789179,144.8973154,163.6248082,111.0101985,162.424509,133.2794713,90.40016764,102.5603662,246.1564644,217.9869448,62.03028142,24.89799948
C_2,349.6065205,249.9406223,232.6463321,248.9436789,244.5343212,229.9991914,253.210763,302.8517658,376.1731626,290.482025,352.6760602,462.7619228,338.1300329,218.3732513,239.2278061,62.96262237,571.0710263
C_3,306.0726606,783.3786404,489.1779905,329.1415383,807.7081409,798.1896948,446.2070925,335.6076724,219.0373592,525.2128324,289.0866349,145.2863764,195.4790348,473.7217756,554.7360211,66.01795488,22.83150021
C_4,109.2723526,168.4881482,101.7413722,92.61560896,167.1729924,179.948027,136.3168106,92.71496916,91.14772712,91.43971453,97.71923462,62.64860872,87.89769102,111.3478755,120.7163644,67.00115177,24.25799958
C_5,294.9224554,347.5908635,208.0588453,159.0998806,292.1994817,282.8679085,182.7140707,225.4435232,134.6978863,170.3513898,225.992739,291.8116251,248.5688646,321.612348,267.0781735,68.03949847,30.82899966
C_6,1417.308387,1968.901276,1832.346075,1455.547109,2581.961604,1702.569505,2881.443273,1102.979709,1223.182285,1239.594357,1225.88837,864.6664943,930.6974064,862.0511107,1150.215442,68.99482352,27.45900002
C_7,2948.216149,3905.991216,3439.69055,2613.004123,4661.566536,4690.54429,4112.385121,3330.689242,2724.880551,3651.401745,2527.745912,2529.320397,3223.30554,4754.77327,5190.177591,70.01469822,574.6739815
C_8,1830.117296,1361.012277,2077.403422,1634.29887,2736.93777,1433.825952,843.07572,1655.250043,932.3949218,511.5266502,1148.586473,905.5255786,1097.899804,1620.729931,514.3611451,72.07839944,33.87500026
C_9,231.1650943,308.9660766,249.7495921,576.764833,1032.8129,636.4333601,50.41644365,421.8084502,46.50992553,128.5058158,258.9577587,188.9536832,752.8067386,738.5252067,187.8037835,76.03421566,148.0730008
C_10,2763.852436,2171.090428,2068.606738,1781.322971,1266.291199,1734.704232,3443.263244,1312.995996,1369.60436,4634.215716,32979.81214,2644.315864,4358.106005,3645.140968,2276.564496,76.07594841,30.13300039
C_11,3909.739957,4093.441919,5614.528951,16175.89858,17944.8502,45972.11931,7877.414781,6245.263808,18698.14478,5724.015658,8947.838265,8578.219545,2541.216712,8356.156811,3984.212961,77.03918825,168.0014999
C_12,140.6142838,134.3306754,138.898804,138.9401034,93.70903672,116.3194757,174.9873137,107.4728131,120.3285497,239.2500063,1245.761677,151.3487967,229.5456227,182.1415547,135.0842712,77.08551985,29.38450026
C_13,294.1544666,306.9690836,415.4374828,1400.856454,1170.926778,2981.434524,437.1110208,464.2122737,1380.719463,413.348666,616.5277443,623.1100365,317.6273499,617.9281613,292.0095532,78.04133681,168.0069991
C_14,247.4724577,203.6767642,262.4288829,331.3738894,186.3197189,232.5651938,224.9244742,210.1820601,271.5043221,223.2753944,333.5792624,319.099958,300.2655609,251.8682728,320.5849486,77.99798682,575.3830151
C_15,700.0737611,3668.765412,1030.573839,739.7759829,870.3299881,552.0543803,1421.76432,3309.429655,610.7414686,575.5553638,797.778654,269.5882466,234.3958586,5816.296228,335.8481078,81.03526019,117.5460019
C_16,6197.356094,11556.99278,9961.492433,11252.93999,13007.8875,14756.49458,9645.519721,6403.943441,5613.693881,8128.348036,8644.724651,5858.376977,6911.293747,16591.37497,10675.92738,81.52056365,574.6165049
C_17,4111.591738,9475.298676,5232.664824,4357.974093,10343.2326,9963.247948,6034.464929,4857.703928,339.5496675,6473.303281,4116.946901,2475.817737,4260.15898,7376.886857,6533.952103,82.01514653,22.1460001
C_18,2178.833784,3243.735535,2029.551038,2193.001069,3385.844654,3150.018203,1969.111145,2179.273613,1483.197813,1993.424533,1475.431471,1130.440737,1674.023528,2445.958556,2278.637986,83.02665928,25.25600044
C_19,44659.28155,46700.30206,45075.77957,59532.12292,40812.88229,42005.05798,36151.90161,45517.45691,46011.82562,45917.93342,47564.63042,44311.89523,43172.82668,42723.88449,32138.77707,84.04481926,525.1265028
C_20,2393.437898,1736.672748,1297.734823,1520.532742,3327.278087,2135.320205,1244.71665,2401.479153,1995.24069,773.8749563,1751.991233,1156.772637,1695.288322,2079.94151,1928.372074,84.08134037,32.95999985
C_21,11283.76626,10099.01795,13917.66991,19088.92856,33207.0476,15387.96627,5453.428456,17509.1065,6274.121737,3527.523083,14695.90077,7673.301102,11356.43506,18064.79038,7074.412608,86.08623926,57.28400073
